region,sub_region,iso3c
Europe,Southern Europe,ALB
Europe,Southern Europe,AND
Europe,Southern Europe,BIH
Europe,Southern Europe,HRV
Europe,Southern Europe,GIB
Europe,Southern Europe,GRC
Europe,Southern Europe,VAT
Europe,Southern Europe,ITA
Europe,Southern Europe,MLT
Europe,Southern Europe,MNE
Europe,Southern Europe,MKD
Europe,Southern Europe,PRT
Europe,Southern Europe,SMR
Europe,Southern Europe,SRB
Europe,Southern Europe,SVN
Europe,Southern Europe,ESP
Europe,Western Europe,AUT
Europe,Western Europe,BEL
Europe,Western Europe,FRA
Europe,Western Europe,DEU
Europe,Western Europe,LIE
Europe,Western Europe,LUX
Europe,Western Europe,MCO
Europe,Western Europe,NLD
Europe,Western Europe,CHE
Oceania,Australia and New Zealand,AUS
Oceania,Australia and New Zealand,CXR
Oceania,Australia and New Zealand,CCK
Oceania,Australia and New Zealand,HMD
Oceania,Australia and New Zealand,NZL
Oceania,Australia and New Zealand,NFK
Oceania,Melanesia,FJI
Oceania,Melanesia,NCL
Oceania,Melanesia,PNG
Oceania,Melanesia,SLB
Oceania,Melanesia,VUT
Oceania,Micronesia,GUM
Oceania,Micronesia,KIR
Oceania,Micronesia,MHL
Oceania,Micronesia,FSM
Oceania,Micronesia,NRU
Oceania,Micronesia,MNP
Oceania,Micronesia,PLW
Oceania,Micronesia,UMI
Oceania,Polynesia,ASM
Oceania,Polynesia,COK
Oceania,Polynesia,PYF
Oceania,Polynesia,NIU
Oceania,Polynesia,PCN
Oceania,Polynesia,WSM
Oceania,Polynesia,TKL
Oceania,Polynesia,TON
Oceania,Polynesia,TUV
Oceania,Polynesia,WLF
